"BrandID"|"BrandName"|"BrandOEMFlag"|"BrandOwnerID"|"BrandOwner"|"ParentID"|"ParentCompany"|"SubBrandID"|"SubBrand"|"Revision Date"
"GPBT"|"WeatherFit Floor Mats"|"False"|"GPBC"|"JCD Group LTD"|"GPBB"|"JCD Group LTD"|""|""|"Jan 15, 2016"
"GPBW"|"Jimmi Jammer"|"False"|"GPBV"|"Redline Technical Group Inc"|"GNXF"|"Redline Technical Group Inc"|""|""|"Jan 15, 2016"
"GPCC"|"Scorpion Coatings"|"False"|"GPCB"|"Scorpion Protective Coatings Inc"|"GNXK"|"Scorpion Protective Coatings Inc"|""|""|"Jan 15, 2016"
"GPCF"|"QWorks"|"False"|"GPCD"|"QWorks Corporation"|"GPBX"|"QWorks Corporation"|""|""|"Jan 15, 2016"
"GPCH"|"Thor Manufacturing"|"False"|"GPCG"|"THOR Manufacturing Inc"|"GNXL"|"THOR Manufacturing Inc"|""|""|"Jan 15, 2016"
"GPCL"|"Tow Force Hitch"|"False"|"GPCK"|"Tow Force Hitch"|"GPCJ"|"Tow Force Hitch"|""|""|"Jan 15, 2016"
"GPCM"|"DLZ"|"False"|"GHLK"|"Gaatu Inc"|"GHLJ"|"Gaatu Inc"|""|""|"Jan 15, 2016"
"GPCN"|"PowerPlus Performance Chips"|"False"|"GNXN"|"PowerPlus Performance Chips"|"GNXM"|"PowerPlus Performance Chips"|""|""|"Jan 18, 2016"
"GPCR"|"Mean Mug Auto"|"False"|"GPCQ"|"Mean Mug Auto"|"GPCP"|"Mean Mug Auto"|""|""|"Jan 18, 2016"
"GPCW"|"RPG"|"False"|"GPCV"|"RPG Inc"|"GPCT"|"RPG Inc"|""|""|"Jan 18, 2016"
"GPDC"|"LAMDA"|"False"|"GPDB"|"Zhejiang Lamda brake pads Co Ltd"|"GPCX"|"Zhejiang Lamda brake pads Co Ltd"|""|""|"Jan 19, 2016"
"GPDH"|"Richporter Technologies"|"False"|"BGCV"|"Spectra Premium Industries Inc"|"BGCV"|"Spectra Premium Industries Inc"|""|""|"Jan 19, 2016"
"GPDM"|"JcrOffroad"|"False"|"GPDL"|"JcrOffroad Inc"|"GPDK"|"JcrOffroad Inc"|""|""|"Jan 19, 2016"
"GPDN"|"SafeCut"|"False"|"DMJN"|"SAS Safety Corp"|"DMHM"|"SAS Safety Corp"|""|""|"Jan 19, 2016"
"GPDP"|"ThermaSure"|"False"|"DMJN"|"SAS Safety Corp"|"DMHM"|"SAS Safety Corp"|""|""|"Jan 19, 2016"
"GPFC"|"Stockpile USA"|"False"|"GPFB"|"Stockpile USA"|"GPDW"|"Stockpile USA"|""|""|"Jan 21, 2016"
"GPFG"|"Nu-Relics Power Windows"|"False"|"GPFF"|"Nu-Relics Power Windows LLC"|"GPFD"|"Nu-Relics Power Windows LLC"|""|""|"Jan 21, 2016"
"GPFK"|"Reflective Concepts"|"False"|"GPFJ"|"Reflective Concepts"|"GPFH"|"Reflective Concepts"|""|""|"Jan 22, 2016"
"GPFN"|"Victory 4x4"|"False"|"GPFM"|"Victory 4x4"|"GPFL"|"Victory 4x4"|""|""|"Dec 07, 2017"
"GPFR"|"Miessler Automotive USA Inc"|"False"|"GPFQ"|"Miessler Automotive USA Inc"|"GPFP"|"Miessler Automotive USA Inc"|""|""|"Jan 22, 2016"
"GPFV"|"Restyling Factory"|"False"|"GPFT"|"Restyling Factory"|"GPFS"|"Restyling Factory"|""|""|"Jan 22, 2016"
